Success : CREATE_FILE : test2\a94a8fe5ccb19ba6\1A42359C0504E277,0:1920213,2016-12-13 12:26:36-075,2016-12-13 12:26:37-484
Success : LS : test2\a94a8fe5ccb19ba6\,0:-1,2016-12-13 12:26:37-603,2016-12-13 12:26:37-710
Success : CREATE_FILE : test2\a94a8fe5ccb19ba6\760B6A6C00D24D64,0:3972222,2016-12-13 12:26:37-789,2016-12-13 12:26:41-237
Success : SEQ_READ : test2\a94a8fe5ccb19ba6\2a5bd02710e975a7\3eef580036f1724a,0:257,2016-12-13 12:26:41-357,2016-12-13 12:26:41-461
Success : LS : test1\f71b43c3136efa4f\,0:-1,2016-12-13 12:26:41-575,2016-12-13 12:26:41-646
Success : LS : test1\c5a5e5562b038073\0189424a5a60fed3\,0:-1,2016-12-13 12:26:41-721,2016-12-13 12:26:41-813
Success : LS : test1\f71b43c3136efa4f\9f93e73d6896cb7b\,0:-1,2016-12-13 12:26:41-932,2016-12-13 12:26:42-001
Success : LS : test2\a94a8fe5ccb19ba6\,0:-1,2016-12-13 12:26:42-089,2016-12-13 12:26:42-189
Success : CREATE_FILE : test2\a94a8fe5ccb19ba6\2a5bd02710e975a7\1DF1642D6D181160,0:584299,2016-12-13 12:26:42-268,2016-12-13 12:26:42-595
Success : LS : test2\a94a8fe5ccb19ba6\2a5bd02710e975a7\,0:-1,2016-12-13 12:26:42-704,2016-12-13 12:26:42-789
Success : CREATE_FILE : test2\a94a8fe5ccb19ba6\2a5bd02710e975a7\356906594B334184,0:2096458,2016-12-13 12:26:42-891,2016-12-13 12:26:44-428
Success : LS : test2\a94a8fe5ccb19ba6\2a5bd02710e975a7\,0:-1,2016-12-13 12:26:44-551,2016-12-13 12:26:44-639
Success : CREATE_FILE : test2\a94a8fe5ccb19ba6\2C879B43343989E7,0:2565042,2016-12-13 12:26:44-720,2016-12-13 12:26:46-882
Success : LS : test1\f71b43c3136efa4f\9f93e73d6896cb7b\,0:-1,2016-12-13 12:26:47-006,2016-12-13 12:26:47-087
Success : LS : test1\f71b43c3136efa4f\c7d9912886e5ccc7\,0:-1,2016-12-13 12:26:47-173,2016-12-13 12:26:47-235
Success : LS : test2\a94a8fe5ccb19ba6\,0:-1,2016-12-13 12:26:47-333,2016-12-13 12:26:47-432
Success : LS : test1\f71b43c3136efa4f\,0:-1,2016-12-13 12:26:47-543,2016-12-13 12:26:47-614
Success : LS : test2\a94a8fe5ccb19ba6\,0:-1,2016-12-13 12:26:47-689,2016-12-13 12:26:47-817
Success : CREATE_FILE : test2\a94a8fe5ccb19ba6\04D639C75297C698,0:1093867,2016-12-13 12:26:47-909,2016-12-13 12:26:48-413
Success : LS : test2\a94a8fe5ccb19ba6\,0:-1,2016-12-13 12:26:48-538,2016-12-13 12:26:48-644
Success : CREATE_FILE : test2\a94a8fe5ccb19ba6\1EF0FAE45F419A3F,0:2886783,2016-12-13 12:26:48-739,2016-12-13 12:26:51-081
Success : LS : test2\a94a8fe5ccb19ba6\,0:-1,2016-12-13 12:26:51-215,2016-12-13 12:26:51-315
Success : CREATE_FILE : test2\a94a8fe5ccb19ba6\0B2FCDCB06B8DAFA,0:3737990,2016-12-13 12:26:51-404,2016-12-13 12:26:54-885
Success : SEQ_READ : test2\acde102dac5bbe15,0:6030,2016-12-13 12:26:55-010,2016-12-13 12:26:55-113
Success : LS : test2\a94a8fe5ccb19ba6\,0:-1,2016-12-13 12:26:55-284,2016-12-13 12:26:55-403
Success : LS : test1\f71b43c3136efa4f\52481749c0cdecd6\,0:-1,2016-12-13 12:26:55-524,2016-12-13 12:26:55-590
Success : LS : test2\a94a8fe5ccb19ba6\,0:-1,2016-12-13 12:26:55-703,2016-12-13 12:26:55-809
Success : CREATE_FILE : test2\a94a8fe5ccb19ba6\2a5bd02710e975a7\29EF2E483682EFC1,0:3741446,2016-12-13 12:26:55-933,2016-12-13 12:26:59-224
Success : LS : test2\a94a8fe5ccb19ba6\2a5bd02710e975a7\,0:-1,2016-12-13 12:26:59-349,2016-12-13 12:26:59-443
