Success : CREATE_FILE : test2\a94a8fe5ccb19ba6\1B0432124954E5D2,0:175701,2016-12-12 11:44:22-334,2016-12-12 11:44:22-908
Success : LS : test1\c5a5e5562b038073\a39ea9c72a98de10\,0:-1,2016-12-12 11:44:23-035,2016-12-12 11:44:23-107
Success : RANDOM_READ : test2\bc9c8ba7ff351f3e,23785:73961,2016-12-12 11:44:23-183,2016-12-12 11:44:23-248
Success : SEQ_READ : test1\f71b43c3136efa4f\9f93e73d6896cb7b\6670af231c096f09,0:129,2016-12-12 11:44:23-325,2016-12-12 11:44:23-390
Success : LS : test2\a94a8fe5ccb19ba6\,0:-1,2016-12-12 11:44:23-500,2016-12-12 11:44:23-608
Success : CREATE_FILE : test2\a94a8fe5ccb19ba6\2a5bd02710e975a7\31C1454F7242616A,0:3587450,2016-12-12 11:44:23-696,2016-12-12 11:44:28-073
Success : LS : test2\a94a8fe5ccb19ba6\2a5bd02710e975a7\,0:-1,2016-12-12 11:44:28-177,2016-12-12 11:44:28-251
Success : CREATE_FILE : test2\a94a8fe5ccb19ba6\7DBEF38A2D730C94,0:928239,2016-12-12 11:44:28-329,2016-12-12 11:44:29-109
Success : LS : test2\a94a8fe5ccb19ba6\,0:-1,2016-12-12 11:44:29-234,2016-12-12 11:44:29-351
Success : CREATE_FILE : test2\a94a8fe5ccb19ba6\7865A9421BE0E4F3,0:277151,2016-12-12 11:44:29-456,2016-12-12 11:44:30-009
Fail : LS : test1,0:-1,2016-12-12 11:44:30-128,2016-12-12 11:44:30-128
Reason : java.lang.StringIndexOutOfBoundsException: String index out of range: -2
Success : RANDOM_READ : test1\c5a5e5562b038073\0189424a5a60fed3\46a8219c2ae6c782,108595:129075,2016-12-12 11:44:30-216,2016-12-12 11:44:30-312
Success : LS : test2\a94a8fe5ccb19ba6\,0:-1,2016-12-12 11:44:30-398,2016-12-12 11:44:30-521
Success : CREATE_FILE : test2\a94a8fe5ccb19ba6\2a5bd02710e975a7\1A7B93D735DC89DC,0:2531079,2016-12-12 11:44:30-643,2016-12-12 11:44:32-920
Success : LS : test2\a94a8fe5ccb19ba6\2a5bd02710e975a7\,0:-1,2016-12-12 11:44:33-044,2016-12-12 11:44:33-127
Success : CREATE_FILE : test2\a94a8fe5ccb19ba6\61C5565301900617,0:1591160,2016-12-12 11:44:33-235,2016-12-12 11:44:34-539
Success : LS : test2\a94a8fe5ccb19ba6\,0:-1,2016-12-12 11:44:34-615,2016-12-12 11:44:34-710
Success : CREATE_FILE : test2\a94a8fe5ccb19ba6\2813F9284848260A,0:456256,2016-12-12 11:44:34-829,2016-12-12 11:44:35-404
Success : LS : test2\a94a8fe5ccb19ba6\2a5bd02710e975a7\,0:-1,2016-12-12 11:44:35-504,2016-12-12 11:44:35-579
Success : SEQ_READ : test1\c5a5e5562b038073\a39ea9c72a98de10\41288c58009f7f6a,0:477,2016-12-12 11:44:35-684,2016-12-12 11:44:35-749
Success : LS : test2\a94a8fe5ccb19ba6\,0:-1,2016-12-12 11:44:35-823,2016-12-12 11:44:35-910
Success : LS : test1\f71b43c3136efa4f\52481749c0cdecd6\,0:-1,2016-12-12 11:44:35-986,2016-12-12 11:44:36-049
